method,mode,setting,seed,replicate_id,n,p,n_active,sigma2,support_threshold,n_draws,selected_size,active_idx0,selected_idx0,selected_ckpt_id,selected_epoch,selected_stage,selected_tau,precision,recall,f1,fdr,tp,fp,fn,tn,support_size,auroc,auprc,K_q,K_g,tau_start,tau_end,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,q_entropy_weight,lasso_recovery_score
last_flow,lasso_recovery,simple,451,451,160,100,10,1.0,0.5,4000,5,1;19;21;23;46;49;73;75;77;80,1;19;21;77;80,30,725,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.8911111111111111,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,1.006218721979852
last_flow,lasso_recovery,simple,452,452,160,100,10,1.0,0.5,4000,3,10;11;34;58;61;66;77;83;87;89,10;61;77,29,700,1,0.8,1.0,0.3,0.4615384615384615,0.0,3,0,7,90,3,0.8433333333333334,0.73,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9004613267114812
last_flow,lasso_recovery,simple,453,453,160,100,10,1.0,0.5,4000,7,7;33;39;43;46;82;86;92;93;96,7;39;46;82;86;93;96,30,725,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.8333333333333333,0.73,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.786602602240658
last_flow,lasso_recovery,simple,454,454,160,100,10,1.0,0.5,4000,6,7;55;56;58;76;77;78;80;88;96,7;56;76;78;88;96,31,750,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.9355555555555556,0.8296078431372549,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9016010283830918
last_flow,lasso_recovery,simple,455,455,160,100,10,1.0,0.5,4000,5,2;17;21;26;41;45;61;64;77;89,17;21;64;77;89,28,675,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.8055555555555556,0.6688888888888889,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8506781912274874
last_flow,lasso_recovery,simple,456,456,160,100,10,1.0,0.5,4000,8,2;5;21;35;36;42;52;67;93;94,21;35;36;42;52;67;93;94,34,825,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9466666666666664,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.6949627352278398
last_flow,lasso_recovery,simple,457,457,160,100,10,1.0,0.5,4000,7,1;14;35;39;41;52;65;81;85;92,1;14;39;52;65;81;85,29,700,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.8894444444444445,0.808888888888889,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9314234601526564
last_flow,lasso_recovery,simple,458,458,160,100,10,1.0,0.5,4000,7,15;19;47;59;60;67;69;72;82;90,15;19;67;69;72;82;90,35,850,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9466666666666664,0.8918181818181818,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8064682394152523
last_flow,lasso_recovery,simple,459,459,160,100,10,1.0,0.5,4000,3,5;11;13;24;32;35;37;68;89;97,5;37;89,34,825,1,0.8,1.0,0.3,0.4615384615384615,0.0,3,0,7,90,3,0.8322222222222223,0.6799999999999999,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,1.042067850433783
last_flow,lasso_recovery,simple,460,460,160,100,10,1.0,0.5,4000,9,5;7;19;30;33;43;66;73;86;96,5;7;19;30;43;66;73;86;96,34,825,1,0.8,1.0,0.9,0.9473684210526316,0.0,9,0,1,90,9,0.9955555555555556,0.9625,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.6564848947599322
