seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_last_j,pip_last_k,pip_mcmc_j,pip_mcmc_k,slab_skl_j,slab_skl_k,joint_skl
401,true_active_true_active,44,68,45,69,-1.2233992,0.8727183,1.0,1.0,1.0,0.958375,10.117653821603948,12.478916050687257,16.484028643879796
401,true_active_true_active,40,10,41,11,0.8038732,1.2219847,1.0,1.0,0.999875,1.0,11.034475341989335,11.118813334073193,16.877317754179074
401,true_active_true_active,40,4,41,5,0.8038732,-0.8852809,1.0,1.0,0.999875,0.9995,11.034475341989335,12.006965292444768,15.27196206210992
401,true_active_true_active,40,25,41,26,0.8038732,-0.50801575,1.0,1.0,0.999875,0.65375,11.034475341989335,12.45862200485276,17.279462171415076
401,true_active_true_active,40,68,41,69,0.8038732,0.8727183,1.0,1.0,0.999875,0.958375,11.034475341989335,12.478916050687257,17.611987241825926
401,true_active_true_active,10,4,11,5,1.2219847,-0.8852809,1.0,1.0,1.0,0.9995,11.118813334073193,12.006965292444768,15.93745001129446
401,true_active_true_active,10,25,11,26,1.2219847,-0.50801575,1.0,1.0,1.0,0.65375,11.118813334073193,12.45862200485276,17.18341531401922
401,true_active_true_active,10,68,11,69,1.2219847,0.8727183,1.0,1.0,1.0,0.958375,11.118813334073193,12.478916050687257,17.162714191554432
401,true_active_true_active,4,25,5,26,-0.8852809,-0.50801575,1.0,1.0,0.9995,0.65375,12.006965292444768,12.45862200485276,16.271751693497084
401,true_active_true_active,4,68,5,69,-0.8852809,0.8727183,1.0,1.0,0.9995,0.958375,12.006965292444768,12.478916050687257,15.914738196087828
401,true_active_true_active,25,68,26,69,-0.50801575,0.8727183,1.0,1.0,0.65375,0.958375,12.45862200485276,12.478916050687257,17.94172335964525
402,true_active_true_active,49,3,50,4,-1.8248357,0.925711,1.0,1.0,1.0,1.0,13.883981533630747,14.701522058318771,16.536475910368434
402,true_active_true_active,49,57,50,58,-1.8248357,1.7605225,1.0,1.0,1.0,1.0,13.883981533630747,14.816307592903227,15.89579058018881
402,true_active_true_active,49,84,50,85,-1.8248357,1.6387773,1.0,1.0,1.0,1.0,13.883981533630747,14.856142054151787,15.900229833229059
402,true_active_true_active,49,0,50,1,-1.8248357,0.81284773,1.0,1.0,1.0,0.97125,13.883981533630747,15.319733136938115,16.60351519263581
402,true_active_true_active,49,72,50,73,-1.8248357,-0.9873099,1.0,1.0,1.0,0.99975,13.883981533630747,15.631016684300036,16.746063422520706
402,true_active_true_active,49,70,50,71,-1.8248357,0.6938954,1.0,1.0,1.0,0.8775,13.883981533630747,15.845576127666227,15.846824387576305
402,true_active_true_active,49,2,50,3,-1.8248357,-1.2326791,1.0,1.0,1.0,1.0,13.883981533630747,15.93542812319092,15.408631368047642
402,true_active_true_active,3,57,4,58,0.925711,1.7605225,1.0,1.0,1.0,1.0,14.701522058318771,14.816307592903227,16.354193586161013
402,true_active_true_active,3,84,4,85,0.925711,1.6387773,1.0,1.0,1.0,1.0,14.701522058318771,14.856142054151787,16.16940513039846
402,true_active_true_active,3,0,4,1,0.925711,0.81284773,1.0,1.0,1.0,0.97125,14.701522058318771,15.319733136938115,17.602118759788382
402,true_active_true_active,3,72,4,73,0.925711,-0.9873099,1.0,1.0,1.0,0.99975,14.701522058318771,15.631016684300036,18.0389474789466
402,true_active_true_active,3,70,4,71,0.925711,0.6938954,1.0,1.0,1.0,0.8775,14.701522058318771,15.845576127666227,15.921911159736652
402,true_active_true_active,3,2,4,3,0.925711,-1.2326791,1.0,1.0,1.0,1.0,14.701522058318771,15.93542812319092,16.4978163778989
402,true_active_true_active,57,84,58,85,1.7605225,1.6387773,1.0,1.0,1.0,1.0,14.816307592903227,14.856142054151787,17.236628668931786
402,true_active_true_active,57,0,58,1,1.7605225,0.81284773,1.0,1.0,1.0,0.97125,14.816307592903227,15.319733136938115,16.46067253698107
402,true_active_true_active,57,72,58,73,1.7605225,-0.9873099,1.0,1.0,1.0,0.99975,14.816307592903227,15.631016684300036,17.35280031843835
402,true_active_true_active,57,70,58,71,1.7605225,0.6938954,1.0,1.0,1.0,0.8775,14.816307592903227,15.845576127666227,16.902643985559887
402,true_active_true_active,57,2,58,3,1.7605225,-1.2326791,1.0,1.0,1.0,1.0,14.816307592903227,15.93542812319092,17.080868826155946
402,true_active_true_active,84,0,85,1,1.6387773,0.81284773,1.0,1.0,1.0,0.97125,14.856142054151787,15.319733136938115,18.85168386213962
402,true_active_true_active,84,72,85,73,1.6387773,-0.9873099,1.0,1.0,1.0,0.99975,14.856142054151787,15.631016684300036,18.6063927256371
402,true_active_true_active,84,70,85,71,1.6387773,0.6938954,1.0,1.0,1.0,0.8775,14.856142054151787,15.845576127666227,16.1605292858199
402,true_active_true_active,84,2,85,3,1.6387773,-1.2326791,1.0,1.0,1.0,1.0,14.856142054151787,15.93542812319092,16.26225307648687
402,true_active_true_active,0,72,1,73,0.81284773,-0.9873099,1.0,1.0,0.97125,0.99975,15.319733136938115,15.631016684300036,19.10592734610854
402,true_active_true_active,0,70,1,71,0.81284773,0.6938954,1.0,1.0,0.97125,0.8775,15.319733136938115,15.845576127666227,7.17663261211966
402,true_active_true_active,0,2,1,3,0.81284773,-1.2326791,1.0,1.0,0.97125,1.0,15.319733136938115,15.93542812319092,16.524978430868536
402,true_active_true_active,72,70,73,71,-0.9873099,0.6938954,1.0,1.0,0.99975,0.8775,15.631016684300036,15.845576127666227,16.23340466118771
402,true_active_true_active,72,2,73,3,-0.9873099,-1.2326791,1.0,1.0,0.99975,1.0,15.631016684300036,15.93542812319092,16.280605432929434
402,true_active_true_active,70,2,71,3,0.6938954,-1.2326791,1.0,1.0,0.8775,1.0,15.845576127666227,15.93542812319092,17.104529929321085
403,true_active_true_active,36,82,37,83,1.8899299,-1.8824826,1.0,1.0,1.0,1.0,9.57010090122055,10.999148135128742,15.600856903905514
403,true_active_true_active,36,94,37,95,1.8899299,1.3204614,1.0,1.0,1.0,1.0,9.57010090122055,11.201375450437073,15.095632425649583
403,true_active_true_active,36,19,37,20,1.8899299,-0.9490338,1.0,1.0,1.0,0.969625,9.57010090122055,13.306820669716243,15.862192623382077
403,true_active_true_active,36,31,37,32,1.8899299,-0.44524896,1.0,1.0,1.0,0.5075,9.57010090122055,13.735927659745368,15.30135954061635
403,true_active_true_active,36,25,37,26,1.8899299,1.4924839,1.0,1.0,1.0,1.0,9.57010090122055,13.967068679813291,17.274440167630004
403,true_active_true_active,36,86,37,87,1.8899299,-1.6860123,1.0,1.0,1.0,1.0,9.57010090122055,16.335864265802126,17.19653348208712
403,true_active_true_active,36,7,37,8,1.8899299,0.85820043,1.0,1.0,1.0,1.0,9.57010090122055,17.9426758433729,18.486688197445947
403,true_active_true_active,82,94,83,95,-1.8824826,1.3204614,1.0,1.0,1.0,1.0,10.999148135128742,11.201375450437073,15.727533582370041
403,true_active_true_active,82,19,83,20,-1.8824826,-0.9490338,1.0,1.0,1.0,0.969625,10.999148135128742,13.306820669716243,16.926540793979107
403,true_active_true_active,82,31,83,32,-1.8824826,-0.44524896,1.0,1.0,1.0,0.5075,10.999148135128742,13.735927659745368,15.471368525127208
403,true_active_true_active,82,25,83,26,-1.8824826,1.4924839,1.0,1.0,1.0,1.0,10.999148135128742,13.967068679813291,17.982490347457727
403,true_active_true_active,82,86,83,87,-1.8824826,-1.6860123,1.0,1.0,1.0,1.0,10.999148135128742,16.335864265802126,19.062125305302885
403,true_active_true_active,82,7,83,8,-1.8824826,0.85820043,1.0,1.0,1.0,1.0,10.999148135128742,17.9426758433729,19.245222815646628
