seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl
401,28,29,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.261045953875,-0.0036896757116096687,0.0037253104802892362,0.03359341611001771,
401,29,30,-0.3244736,1,0.0,0.00425,0.00425,0.0014751340368402016,0.0014751340368402016,0,0,False,False,-0.5002799655175,-0.09198740397259164,0.005148295597378625,0.13402325348029426,
401,30,31,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.00064803201318875,0.006083509471099741,0.00035881458060129203,0.03671116506756989,
401,31,32,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.057952805952999994,0.006914871176851217,0.0016593631579299624,0.038145709966737086,
401,32,33,0.0,0,0.0,0.00225,0.00225,0.0007803609442979737,0.0007803609442979737,0,0,False,True,0.039920413855250005,0.04877331839762702,0.0022638595582686895,0.10602043950247533,
401,33,34,-1.8541925,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.8424479358749999,-1.8688272685121479,0.011371454709196238,0.11746193926221635,7.354400936179605
401,34,35,0.0,0,0.0,0.00025,0.00025,8.659904290211192e-05,8.659904290211192e-05,0,0,False,True,-0.08432748799925,0.017761390297249532,0.0034646109124492367,0.06528328769166603,
401,35,36,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.07247784695,0.017857375637552998,0.0020121763091962316,0.06164131254522576,
401,36,37,0.0,0,0.0,0.00125,0.00125,0.0004333522047541055,0.0004333522047541055,0,0,False,True,-0.016720919995700002,-0.04406927430928395,0.0035593943099024934,0.09789476278424261,
401,37,38,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.04865764404725,0.017487764422602966,0.0013903035166325842,0.0615882147039349,
401,38,39,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.19580422994,0.001146248455714125,0.0021759383646576466,0.027274628262425216,
401,39,40,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.07165560177725,0.00957484216340718,0.004979532971586654,0.04393796889750802,
401,40,41,0.8038732,1,1.0,0.999875,0.00012500000000004174,4.3274949835665076e-05,4.3274949835665076e-05,1,1,True,False,0.9851051541225,0.910648856663344,0.005591963747989554,0.11283099970559758,11.034475341989335
401,41,42,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-6.514276925879918e-23,-0.0002965478393732953,3.8762475211002465e-21,0.0286192036371746,
401,42,43,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.17244838780250002,0.005240109852036652,0.0015505379635803735,0.036764966796377044,
