seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
403,active_active,36,25,37,26,1.8899299,1.4924839,0.0,0.0,0.5752115683727428,0.16194886932329505,0.017388567820977866,0.4465780445921598,0.7344494130429339,1.3748608147624668
403,active_active,36,86,37,87,1.8899299,-1.6860123,0.0,0.0,0.8585762641171647,0.2985307754152835,0.017757619876177647,0.7433632103220806,1.0732153684468904,2.0404204361068357
403,active_active,36,31,37,32,1.8899299,-0.44524896,0.0,0.49250000000000005,0.8691912088073006,0.07265126744943359,0.0190200202632514,0.25825225995492707,0.5806435717573616,1.4876801383709113
403,active_active,36,7,37,8,1.8899299,0.85820043,0.0,0.0,0.8971839395032791,0.31853704872354544,0.016508808501416262,0.4119967436573657,1.1687569671698093,2.1431214880365337
403,active_active,82,19,83,20,-1.8824826,-0.9490338,0.0,0.03037500000000004,0.4720588303007041,0.0779641434537655,0.023909392220239,0.6916350322552022,0.5829661168275484,1.137962212754209
403,active_active,82,25,83,26,-1.8824826,1.4924839,0.0,0.0,0.5774445554303915,0.1601274842024935,0.01889857410043566,0.39902212638357726,0.7308772640323475,1.368961424046455
403,active_active,82,86,83,87,-1.8824826,-1.6860123,0.0,0.0,0.8608092511748136,0.29754663297032374,0.019212484786474523,0.7656105214132668,1.1061094843150763,2.0780375721248676
403,active_active,82,31,83,32,-1.8824826,-0.44524896,0.0,0.49250000000000005,0.8714241958649495,0.06849512087685693,0.020139331102474706,0.1290790297000489,0.5826814879190537,1.4788979316173125
403,active_active,82,7,83,8,-1.8824826,0.85820043,0.0,0.0,0.899416926560928,0.31761490256509134,0.018163862100591812,0.22453960651854243,1.1508040254918097,2.1089773684862485
403,active_active,19,25,20,26,-0.9490338,1.4924839,0.03037500000000004,0.0,0.5938369967275697,0.14950727083494184,0.023180594353430256,0.4678644413076757,0.6878129254214125,1.3491822419516015
403,active_active,19,86,20,87,-0.9490338,-1.6860123,0.03037500000000004,0.0,0.8772016924719916,0.2919685113629026,0.023321434126716802,0.5307880766206896,1.02371604750395,1.9890237573059801
403,active_active,19,31,20,32,-0.9490338,-0.44524896,0.03037500000000004,0.49250000000000005,0.8878166371621277,0.037459236770496,0.02394783148222162,0.2508673128080868,0.5500966296660573,1.4727328796565986
403,active_active,19,7,20,8,-0.9490338,0.85820043,0.03037500000000004,0.0,0.9158093678581061,0.3123953251361571,0.02232338287378695,0.7548660451790878,1.09884141960022,2.126957770208297
403,active_active,25,86,26,87,1.4924839,-1.6860123,0.0,0.0,0.9825874176016791,0.32374066034406285,0.017918889564951787,0.5055162436548635,1.1308783590650482,2.2008711894578576
403,active_active,25,31,26,32,1.4924839,-0.44524896,0.0,0.49250000000000005,0.9932023622918151,0.14479502046675694,0.01887302855077693,0.5840818067870467,0.7452224168026121,1.816030718957502
403,active_active,25,7,26,8,1.4924839,0.85820043,0.0,0.0,1.0211950929877935,0.3422765587934204,0.01665671953627472,0.59681259472724,1.2318047479043082,2.3510729361282365
403,active_active,86,31,87,32,-1.6860123,-0.44524896,0.0,0.49250000000000005,1.2765670580362372,0.28958381437318853,0.01935728579859514,0.060923412078738026,1.0305777237487719,2.3470348258798506
403,active_active,86,7,87,8,-1.6860123,0.85820043,0.0,0.0,1.3045597887322156,0.4243187838105008,0.01711640720730116,0.507681465827292,1.3441552972977735,2.7461942127955936
403,active_active,31,7,32,8,-0.44524896,0.85820043,0.49250000000000005,0.0,1.3151747334223516,0.31016771767284423,0.018041070443444326,0.6505525651230504,1.1255005137744865,2.541257543087289
404,active_active,52,53,53,54,-1.4039316,-1.5559489,0.0,0.0,0.48656633663878684,0.1148233078649588,0.018849077832832985,0.2564569665069386,0.6280435075365294,1.1564501410707144
404,active_active,52,61,53,62,-1.4039316,-1.9925004,0.0,0.0,0.5024457825972712,0.11708207747595759,0.02081493864116596,0.5600343287677778,0.6250557974273596,1.200416955309296
404,active_active,52,96,53,97,-1.4039316,-0.7217069,0.0,0.11312500000000003,0.5433813299273693,0.08243330785480377,0.019446743843345802,0.35021825492199715,0.5900339245689618,1.1815420967348473
404,active_active,52,51,53,52,-1.4039316,1.1569318,0.0,0.0,0.5804208478888464,0.15557233510241006,0.021831593037036884,0.5720096730198202,0.6907700292949187,1.3494069762552472
404,active_active,52,1,53,2,-1.4039316,-1.4139572,0.0,0.0,0.5992027553104045,0.166318791134911,0.020894066356556603,0.5358843460512747,0.7652206006647463,1.4398671862829084
404,active_active,52,32,53,33,-1.4039316,1.9368105,0.0,0.0,0.670378454755477,0.20696724269649855,0.019511021857666185,0.38018686564849435,0.8650879306427657,1.5990595516971586
404,active_active,52,91,53,92,-1.4039316,1.6942111,0.0,0.0,0.7603230259105784,0.25105389171601367,0.01906330096127549,0.19055067028264713,0.9649264474649231,1.7741757548156865
404,active_active,52,73,53,74,-1.4039316,0.7189072,0.0,0.34375,0.8329806164227542,0.10920595647906385,0.02100288506621053,0.44169289105185083,0.6297407236630178,1.5230619461054162
404,active_active,52,80,53,81,-1.4039316,0.9367536,0.0,0.0007500000000000284,1.1527794352930865,0.44413551826342723,0.019105506355529347,0.6605266357099631,1.3243704146396649,2.5923924419189732
404,active_active,53,61,54,62,-1.5559489,-1.9925004,0.0,0.0,0.5549972023517122,0.14062241292637695,0.019980690203868372,0.5246853022252642,0.6356872361400172,1.2622103825578608
404,active_active,53,96,54,97,-1.5559489,-0.7217069,0.0,0.11312500000000003,0.5959327496818104,0.11340943697521466,0.018837132500797348,0.03259344037011453,0.6349423722010459,1.2501846927425886
404,active_active,53,51,54,52,-1.5559489,1.1569318,0.0,0.0,0.6329722676432874,0.17398046327207806,0.022104125801097742,0.2554617100440119,0.708213116766751,1.3896556331919219
