j,beta_mean,beta_sd,gate_mean,gate_sd,pip,pip_sd,selected,beta_true,truth,mcmc_beta_mean,mcmc_beta_sd,mcmc_pip,beta_mean_abs_error,beta_sd_abs_error,pip_abs_error
65,0.012546806,0.066493295,0.0648928,0.065092295,0.0015,0.038706034,0,0.0,0,0.0028479081906688493,0.03220816888669238,0.0,0.009698897474228117,0.03428512624642148,0.001500000013038516
66,-0.012449538,0.064317875,0.05833432,0.05620939,0.0005,0.022357835,0,0.0,0,0.005755733841495079,0.03628545244970746,0.0,0.018205272176699205,0.02803242216071658,0.0005000000237487257
67,0.0008204182,0.06578413,0.061420847,0.058610797,0.0005,0.022357704,0,0.0,0,0.000740339005370783,0.029206101735215765,0.0,8.007917413006501e-05,0.0365780247849411,0.0005000000237487257
68,0.011649044,0.06462541,0.061759837,0.059075374,0.00025,0.015811322,0,0.0,0,-0.0041974225398145795,0.035022157743399125,0.0,0.01584646677039491,0.02960325448232414,0.0002500000118743628
69,0.0026056957,0.06279228,0.059809957,0.05790373,0.0005,0.022357691,0,0.0,0,-0.007098611798382476,0.039698603967783616,0.0,0.009704307541496232,0.02309367485845311,0.0005000000237487257
70,0.011481807,0.059280995,0.059524592,0.05561082,0.00025,0.015811302,0,0.0,0,0.0035836996572643567,0.029112455968534474,0.0,0.007898106978592272,0.03016853931101608,0.0002500000118743628
71,-0.025837906,0.07788226,0.070423484,0.066278204,0.001,0.031610295,0,0.0,0,-0.04377115737993788,0.09408047980197319,0.001375,0.01793325167496275,0.01619821971782097,0.0003749999525025486
72,0.19089724,0.11099709,0.1744634,0.08110718,0.0015,0.03870634,0,0.0,0,0.041857764938587685,0.09150693234119829,0.000125,0.1490394762961917,0.019490155912299786,0.001375000013038516
73,-0.0010388598,0.05931356,0.055904754,0.053977247,0.00025,0.015811335,0,0.0,0,0.0014078334766258278,0.03147276171020724,0.0,0.0024466933077950757,0.027840800057132464,0.0002500000118743628
74,-0.00650512,0.06911421,0.06436258,0.06274079,0.001,0.031610545,0,0.0,0,-0.003755644160694267,0.030874006422319154,0.0,0.002749475919270132,0.03824020179911639,0.0010000000474974513
75,0.002660985,0.062018283,0.05709487,0.05503823,0.0,0.0,0,0.0,0,-0.003759753320801262,0.032825520641189834,0.0,0.006420738425540928,0.029192762070316056,0.0
76,0.0046090093,0.06501595,0.05953581,0.05708871,0.0,0.0,0,0.0,0,0.004431929157097943,0.03325134654548751,0.0,0.0001770800939005536,0.03176460276338471,0.0
77,0.00920191,0.06941673,0.061245337,0.05959534,0.00025,0.015811384,0,0.0,0,0.000861803028460501,0.026921011960631624,0.0,0.008340107318285944,0.04249571963536142,0.0002500000118743628
78,-0.015629364,0.06456151,0.06368402,0.059227042,0.00025,0.0158113,0,0.0,0,0.008517178789507378,0.042559041620663284,0.0,0.024146542967092025,0.022002466975280167,0.0002500000118743628
79,0.0035384619,0.061092723,0.05915467,0.057134807,0.00025,0.015811313,0,0.0,0,-0.0036046040263682747,0.032576386847782364,0.0,0.007143065894088163,0.028516336313199768,0.0002500000118743628
80,0.0078099,0.069671534,0.06801468,0.064815074,0.00075,0.027379164,0,0.0,0,-0.004965289938377929,0.037105211164125226,0.000125,0.01277519015141089,0.032566322837702014,0.000625000006519258
81,1.9635257,0.14851108,0.7275785,0.04726282,1.0,0.0,1,1.9855189,1,2.0109096634113257,0.11891607186306079,1.0,0.0473840105258887,0.029595010070914432,0.0
82,-0.027076678,0.074153654,0.07003646,0.06472893,0.00175,0.04180133,0,0.0,0,-0.07092255508878487,0.12056430745429836,0.002875,0.04384587673821705,0.04641065317697368,0.0011249999459832906
83,0.031192135,0.08324073,0.07621531,0.07334998,0.00175,0.04180133,0,0.0,0,0.00042405488029743265,0.027736610878633664,0.0,0.03076808018549656,0.05550412167198737,0.0017500000540167093
84,-0.0056063524,0.0677688,0.063153274,0.060157396,0.001,0.03161062,0,0.0,0,0.0034051786324003565,0.029901793606231776,0.0,0.009011530984006248,0.03786700367217246,0.0010000000474974513
85,-0.030389939,0.077695936,0.06685579,0.064089775,0.0005,0.02235764,0,0.0,0,-0.01748931317915867,0.059700247877970646,0.000125,0.01290062532434513,0.017995688086613705,0.00037500002374872565
86,0.02085111,0.074726805,0.07136534,0.06621494,0.00075,0.02737896,0,0.0,0,-0.011511409008836489,0.04775518418671001,0.0,0.03236251818571065,0.026971620904194228,0.000750000006519258
87,0.02037457,0.06612458,0.060047667,0.05627554,0.00025,0.01581132,0,0.0,0,0.003533029885464326,0.03388490042671463,0.0,0.016841540156430586,0.03223968037381866,0.0002500000118743628
88,0.021612693,0.071116544,0.06768575,0.06392406,0.0005,0.022357654,0,0.0,0,-0.012207828450368762,0.05037810677871512,0.0,0.03382052107469928,0.02073843752756311,0.0005000000237487257
89,0.24750045,0.1345037,0.20879126,0.09222583,0.005,0.07054166,0,0.32838634,1,0.34499731302387904,0.16707357044813018,0.1655,0.09749686360485743,0.03256986315843444,0.16050000011175872
90,-0.006181769,0.06803817,0.0652434,0.06180627,0.00025,0.015811337,0,0.0,0,-0.0004019500159633121,0.026507349083553133,0.0,0.005779819057046179,0.04153082393633288,0.0002500000118743628
91,-0.03011858,0.08133038,0.07391112,0.07010258,0.00175,0.041801386,0,0.0,0,-0.009660706050170957,0.045427224679030154,0.0,0.02045787485741228,0.03590315665479782,0.0017500000540167093
92,0.011786174,0.065330185,0.06395472,0.05883018,0.0,0.0,0,0.0,0,0.005524115382987539,0.034176185702157386,0.0,0.006262058646124323,0.031153999293970697,0.0
93,-0.0062902314,0.060422603,0.058949962,0.056833334,0.00075,0.027379101,0,0.0,0,-0.04916248360010606,0.10857786620541227,0.003625,0.042872252234395565,0.04815526316447866,0.002874999993480742
94,-0.012738695,0.06943201,0.06677136,0.06294782,0.0005,0.022357732,0,0.0,0,-0.0031808690506595744,0.03227481931933474,0.0,0.009557826317511163,0.03715719341746259,0.0005000000237487257
95,0.007870879,0.0642052,0.06216268,0.058397517,0.001,0.0316104,0,0.0,0,0.0013027202481895848,0.029876180957975288,0.0,0.006568158776077612,0.03432901852208148,0.0010000000474974513
96,0.010729813,0.06285742,0.060082223,0.057193156,0.00075,0.02737816,0,0.0,0,0.004263320703761936,0.03618682158105018,0.0,0.006466492313189148,0.02667059767134545,0.000750000006519258
97,-1.6056762,0.1511686,0.6698073,0.052735053,0.99875,0.03533755,1,-1.7154912,1,-1.6377127798673623,0.11290477586352932,1.0,0.03203660570354394,0.038263823861240276,0.0012500286102294922
98,0.0035017133,0.062102206,0.061646942,0.05550624,0.00025,0.01581132,0,0.0,0,-0.0037202065061258116,0.028793750918754028,0.0,0.0072219197820352354,0.033308455132595616,0.0002500000118743628
99,-0.008584371,0.06307527,0.060677785,0.05765357,0.00025,0.015811378,0,0.0,0,-0.003179565412189646,0.02969996996351504,0.0,0.005404805424425917,0.03337529681495405,0.0002500000118743628
