run_id,seed,selector,ckpt_id,epoch,tau,score,oracle_score,regret,ratio,final_score
F01_seed_426,426,lasso,32,775,0.8,0.9878996,0.911467,0.07643259999999996,1.0838566837855896,2.63232957
F01_seed_426,426,final,61,1500,0.8,2.63232957,0.911467,1.72086257,2.8880141244828392,2.63232957
F01_seed_426,426,min_loss,61,1500,0.8,2.63232957,0.911467,1.72086257,2.8880141244828392,2.63232957
F01_seed_426,426,min_loss_ema,61,1500,0.8,2.63232957,0.911467,1.72086257,2.8880141244828392,2.63232957
F01_seed_427,427,oracle,27,650,0.8,0.3195915,0.3195915,0.0,1.0,1.23834594
F01_seed_427,427,lasso,31,750,0.8,0.33446009,0.3195915,0.014868590000000015,1.0465237342044453,1.23834594
F01_seed_427,427,final,61,1500,0.8,1.23834594,0.3195915,0.9187544400000001,3.8747774580988548,1.23834594
F01_seed_427,427,min_loss,61,1500,0.8,1.23834594,0.3195915,0.9187544400000001,3.8747774580988548,1.23834594
F01_seed_427,427,min_loss_ema,61,1500,0.8,1.23834594,0.3195915,0.9187544400000001,3.8747774580988548,1.23834594
F01_seed_428,428,oracle,27,650,0.8,0.64486741,0.64486741,0.0,1.0,1.93440728
F01_seed_428,428,lasso,33,800,0.8,0.93960425,0.64486741,0.29473684,1.4570502950366184,1.93440728
F01_seed_428,428,final,61,1500,0.8,1.93440728,0.64486741,1.28953987,2.9996976897933174,1.93440728
F01_seed_428,428,min_loss,60,1475,0.8,1.84945996,0.64486741,1.2045925499999999,2.867969339619752,1.93440728
F01_seed_428,428,min_loss_ema,61,1500,0.8,1.93440728,0.64486741,1.28953987,2.9996976897933174,1.93440728
F01_seed_429,429,oracle,24,575,0.8,0.52847679,0.52847679,0.0,1.0,1.75873953
F01_seed_429,429,lasso,27,650,0.8,0.58644135,0.52847679,0.05796455999999994,1.1096823192556857,1.75873953
F01_seed_429,429,final,61,1500,0.8,1.75873953,0.52847679,1.23026274,3.327940911085234,1.75873953
F01_seed_429,429,min_loss,61,1500,0.8,1.75873953,0.52847679,1.23026274,3.327940911085234,1.75873953
F01_seed_429,429,min_loss_ema,61,1500,0.8,1.75873953,0.52847679,1.23026274,3.327940911085234,1.75873953
F01_seed_430,430,oracle,31,750,0.8,0.54169557,0.54169557,0.0,1.0,1.27688987
F01_seed_430,430,lasso,33,800,0.8,0.65458215,0.54169557,0.11288657999999996,1.2083948738956827,1.27688987
F01_seed_430,430,final,61,1500,0.8,1.27688987,0.54169557,0.7351943,2.3572093639237255,1.27688987
F01_seed_430,430,min_loss,60,1475,0.8,1.2610612,0.54169557,0.7193656300000001,2.327988763134984,1.27688987
F01_seed_430,430,min_loss_ema,61,1500,0.8,1.27688987,0.54169557,0.7351943,2.3572093639237255,1.27688987
F01_seed_431,431,oracle,30,725,0.8,0.60735596,0.60735596,0.0,1.0,1.31840782
F01_seed_431,431,lasso,32,775,0.8,0.71032977,0.60735596,0.10297380999999994,1.1695444134606006,1.31840782
F01_seed_431,431,final,61,1500,0.8,1.31840782,0.60735596,0.71105186,2.1707333208683752,1.31840782
F01_seed_431,431,min_loss,61,1500,0.8,1.31840782,0.60735596,0.71105186,2.1707333208683752,1.31840782
F01_seed_431,431,min_loss_ema,61,1500,0.8,1.31840782,0.60735596,0.71105186,2.1707333208683752,1.31840782
F01_seed_432,432,oracle,48,1175,0.8,0.66269427,0.66269427,0.0,1.0,1.0724209
F01_seed_432,432,lasso,32,775,0.8,0.85711985,0.66269427,0.19442558,1.293386541579724,1.0724209
F01_seed_432,432,final,61,1500,0.8,1.0724209,0.66269427,0.40972663,1.6182739893012805,1.0724209
F01_seed_432,432,min_loss,61,1500,0.8,1.0724209,0.66269427,0.40972663,1.6182739893012805,1.0724209
F01_seed_432,432,min_loss_ema,61,1500,0.8,1.0724209,0.66269427,0.40972663,1.6182739893012805,1.0724209
F01_seed_433,433,oracle,34,825,0.8,0.36835366,0.36835366,0.0,1.0,0.77929585
F01_seed_433,433,lasso,32,775,0.8,0.40234555,0.36835366,0.03399188999999997,1.0922805816562267,0.77929585
F01_seed_433,433,final,61,1500,0.8,0.77929585,0.36835366,0.41094219,2.1156185878538576,0.77929585
F01_seed_433,433,min_loss,61,1500,0.8,0.77929585,0.36835366,0.41094219,2.1156185878538576,0.77929585
F01_seed_433,433,min_loss_ema,61,1500,0.8,0.77929585,0.36835366,0.41094219,2.1156185878538576,0.77929585
F01_seed_434,434,oracle,28,675,0.8,1.14753058,1.14753058,0.0,1.0,1.67695919
F01_seed_434,434,lasso,31,750,0.8,1.30102055,1.14753058,0.1534899700000001,1.1337567579244816,1.67695919
F01_seed_434,434,final,61,1500,0.8,1.67695919,1.14753058,0.5294286100000001,1.4613634000062987,1.67695919
F01_seed_434,434,min_loss,61,1500,0.8,1.67695919,1.14753058,0.5294286100000001,1.4613634000062987,1.67695919
F01_seed_434,434,min_loss_ema,61,1500,0.8,1.67695919,1.14753058,0.5294286100000001,1.4613634000062987,1.67695919
F01_seed_435,435,oracle,28,675,0.8,0.336861,0.336861,0.0,1.0,1.5684569
F01_seed_435,435,lasso,32,775,0.8,0.50391292,0.336861,0.16705191999999996,1.4959075701847349,1.5684569
F01_seed_435,435,final,61,1500,0.8,1.5684569,0.336861,1.2315958999999999,4.656095244032405,1.5684569
F01_seed_435,435,min_loss,61,1500,0.8,1.5684569,0.336861,1.2315958999999999,4.656095244032405,1.5684569
F01_seed_435,435,min_loss_ema,61,1500,0.8,1.5684569,0.336861,1.2315958999999999,4.656095244032405,1.5684569
F01_seed_436,436,oracle,36,875,0.8,0.76350573,0.76350573,0.0,1.0,1.41341403
F01_seed_436,436,lasso,31,750,0.8,1.10260898,0.76350573,0.3391032500000001,1.4441397577985433,1.41341403
F01_seed_436,436,final,61,1500,0.8,1.41341403,0.76350573,0.6499083,1.8512160085556921,1.41341403
F01_seed_436,436,min_loss,60,1475,0.8,1.4002434,0.76350573,0.6367376699999999,1.8339658040287399,1.41341403
F01_seed_436,436,min_loss_ema,61,1500,0.8,1.41341403,0.76350573,0.6499083,1.8512160085556921,1.41341403
F01_seed_437,437,oracle,7,175,0.8,0.86429929,0.86429929,0.0,1.0,1.54604122
F01_seed_437,437,lasso,30,725,0.8,1.05852471,0.86429929,0.19422541999999987,1.2247200966692913,1.54604122
F01_seed_437,437,final,61,1500,0.8,1.54604122,0.86429929,0.6817419299999999,1.7887799259906831,1.54604122
F01_seed_437,437,min_loss,60,1475,0.8,1.59245017,0.86429929,0.72815088,1.8424753883576601,1.54604122
F01_seed_437,437,min_loss_ema,61,1500,0.8,1.54604122,0.86429929,0.6817419299999999,1.7887799259906831,1.54604122
F01_seed_438,438,oracle,26,625,0.8,0.74300015,0.74300015,0.0,1.0,1.57012489
F01_seed_438,438,lasso,32,775,0.8,0.92685946,0.74300015,0.18385931,1.2474552797869556,1.57012489
F01_seed_438,438,final,61,1500,0.8,1.57012489,0.74300015,0.82712474,2.113222843898484,1.57012489
F01_seed_438,438,min_loss,61,1500,0.8,1.57012489,0.74300015,0.82712474,2.113222843898484,1.57012489
F01_seed_438,438,min_loss_ema,61,1500,0.8,1.57012489,0.74300015,0.82712474,2.113222843898484,1.57012489
F01_seed_439,439,oracle,24,575,0.8,1.00744396,1.00744396,0.0,1.0,2.69036906
F01_seed_439,439,lasso,26,625,0.8,1.15247718,1.00744396,0.14503321999999996,1.1439615757882948,2.69036906
F01_seed_439,439,final,61,1500,0.8,2.69036906,1.00744396,1.6829251,2.6704900389695125,2.69036906
F01_seed_439,439,min_loss,60,1475,0.8,2.57441903,1.00744396,1.56697507,2.5553967587437816,2.69036906
F01_seed_439,439,min_loss_ema,61,1500,0.8,2.69036906,1.00744396,1.6829251,2.6704900389695125,2.69036906
F01_seed_440,440,oracle,17,400,0.8,0.77903402,0.77903402,0.0,1.0,1.76352375
F01_seed_440,440,lasso,30,725,0.8,0.94513866,0.77903402,0.16610464000000003,1.2132187243889554,1.76352375
F01_seed_440,440,final,61,1500,0.8,1.76352375,0.77903402,0.9844897300000001,2.263731370807144,1.76352375
F01_seed_440,440,min_loss,61,1500,0.8,1.76352375,0.77903402,0.9844897300000001,2.263731370807144,1.76352375
F01_seed_440,440,min_loss_ema,61,1500,0.8,1.76352375,0.77903402,0.9844897300000001,2.263731370807144,1.76352375
F01_seed_441,441,oracle,25,600,0.8,0.54221424,0.54221424,0.0,1.0,0.91479465
