condition,method,mse,r2,tpr,fpr,auroc,auprc,dparam,network_density,path_density,runtime_sec
trig_interaction,LBBNN-LRT,0.91422367345482,0.5770218683588326,1.0,0.963157894736842,0.9357894736842104,0.7399836745175727,0.1375565610859728,0.2723981900452488,0.013825,2374.349
trig_interaction,LBBNN-LRT,1.3427064485369866,0.4107905197326572,1.0,0.963157894736842,0.99,0.8876190476190476,0.152262443438914,0.3119909502262443,0.0218875,2329.104
trig_interaction,LBBNN-LRT,1.5830163098102985,0.3290896289723175,1.0,0.9789473684210528,0.933684210526316,0.4865911436344873,0.1832579185520362,0.2972850678733031,0.0239875,2339.6540000000005
trig_interaction,LBBNN-LRT,1.028944159628409,0.5368540543823739,1.0,0.9473684210526316,0.9805263157894736,0.7565413752913752,0.1457013574660633,0.2486425339366516,0.0141375,2255.773
trig_interaction,LBBNN-LRT,1.169832887517004,0.4657585070220472,1.0,0.9842105263157894,0.9857894736842104,0.8155357142857143,0.1680995475113122,0.239366515837104,0.02355,2062.9210000000003
trig_interaction,LBBNN-LRT,2.147605227863897,0.0111446275247684,1.0,0.9947368421052633,0.8173684210526315,0.266224502185527,0.2257918552036199,0.2834841628959276,0.0281875,2543.0370000000003
trig_interaction,LBBNN-LRT,1.3579599653520669,0.4189000584184866,1.0,0.9736842105263158,0.9373684210526316,0.6297835497835498,0.1751131221719457,0.2961538461538461,0.0196625,1927.029
relu_interaction,SS-GHS,2.475218621076952,-0.010150102136238,,,,,0.0029411764705882,0.0029411764705882,0.0,300.024863003986
relu_interaction,SS-GHS,2.247638812981718,-0.0028954277716901,,,,,0.0024886877828054,0.0024886877828054,0.0,319.97122609918006
relu_interaction,SS-GHS,2.230653836232772,-0.0119588245407662,,,,,0.0029411764705882,0.0029411764705882,0.0,226.16469443100505
relu_interaction,SS-GHS,2.2456882509391454,-0.0012629414163405,,,,,0.0024886877828054,0.0024886877828054,0.0,212.92163843591692
relu_interaction,SS-GHS,2.207860677189381,-0.000916581789059,,,,,0.0027149321266968,0.0027149321266968,0.0,213.44202380487687
relu_interaction,SS-GHS,2.42247171447144,-0.0048518606962593,,,,,0.0029411764705882,0.0029411764705882,0.0,239.5066388431005
relu_interaction,SS-GHS,2.2457156888185184,-0.0003256795136963,,,,,0.0029411764705882,0.0029411764705882,0.0,237.0504444630351
relu_interaction,SS-GHS,2.197729609467771,-0.0001602367786506,,,,,0.002262443438914,0.002262443438914,0.0,301.6128332950175
relu_interaction,SS-GHS,2.274962419158282,-0.0003326803510161,,,,,0.0027149321266968,0.0027149321266968,0.0,218.396387521876
relu_interaction,SS-GHS,2.176513498640807,-0.0054289101558369,,,,,0.0031674208144796,0.0031674208144796,0.0,215.40013697510585
trig_interaction,SS-GHS,2.41956593998262,-0.0016008587870763,,,,,0.0029411764705882,0.0029411764705882,0.0,213.6816577489953
trig_interaction,SS-GHS,2.1672792432659893,-0.0001390012224571,,,,,0.0027149321266968,0.0027149321266968,0.0,222.8315577551257
trig_interaction,SS-GHS,2.232388423682826,-0.0152864165360757,,,,,0.0020361990950226,0.0020361990950226,0.0,212.7154770649504
trig_interaction,SS-GHS,2.1620878364204508,-0.0003196154801943,,,,,0.0024886877828054,0.0024886877828054,0.0,217.6715792720206
trig_interaction,SS-GHS,2.2852548240349044,-0.0028206899692659,,,,,0.002262443438914,0.002262443438914,0.0,215.84377470379687
