group,environment,configuration,method,seed,D_SKL_A,D_JS_0,Normalized_L1_PIP,RMSE_PIP,AUROC,AUPRC,MCMCBR,BR,Time_s
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,440,0.1936926267220938,0.001649051571893309,0.03189375,0.10188172907224338,1.0,1.0,0.013069353593750001,0.033092113124999996,1290.4238820075989
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,441,0.07493227110994467,0.002170983054961518,0.0372275,0.11105504406599459,1.0,0.9999999999999999,0.004323902812500001,0.020932731875000003,1256.309368133545
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,442,0.3309261081381615,0.002075812028660342,0.03209875000000001,0.10050047963194006,1.0,0.9999999999999999,0.005284239531249999,0.020277645625000004,1324.974657535553
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,443,0.3695960429157879,0.0014752003697291861,0.04507124999999999,0.14646413863553767,0.9966666666666667,0.9769230769230769,0.00798094640625,0.037235226875,1246.3087124824524
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,444,0.3049007861073164,0.003129333103999549,0.0203925,0.047214487315865236,1.0,0.9999999999999999,0.0018879065624999997,0.007072466249999997,1393.1249430179596
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,445,0.14034266851880461,0.002388623989507729,0.020975,0.0625044798394483,0.9999999999999999,1.0,0.004919650000000001,0.011512225000000003,1273.3419494628906
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,446,0.211630192065827,0.001388298359268138,0.02858749999999999,0.10576735525435056,1.0,1.0,0.0100869865625,0.025241920625000004,1720.154902935028
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,447,0.6745210359717059,0.002606359648678423,0.03912125,0.11723056675308706,0.9999999999999999,0.9999999999999999,8.58395312500001e-05,0.014739650625000003,1273.855720758438
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,448,0.38509261209432644,0.00178142081076329,0.029242499999999998,0.08791364015327768,0.9505555555555557,0.9178571428571428,0.0123246475,0.024199759374999994,1937.680227279663
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,449,0.6685746270826209,0.0006936476702818965,0.032168749999999996,0.1278111845898081,0.9944444444444445,0.9614285714285714,0.02237509203125,0.044408552500000004,1693.7650833129885
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,450,0.33618421138096277,0.0018163005689412932,0.031054999999999996,0.09870635744469551,0.9988888888888888,0.9909090909090909,0.008511096249999999,0.019079625625,2014.621108531952
